frame_num,pmu_id,stream_id,frame_score,normalized_score,rule_severity,classification,final_severity,confidence,assessment,corrupted,rules_triggered,cyber_score,fault_score,disturbance_score,disturbance_raw_score,suspicious_count,dominant_reason
1,1,1,0.0,0.0,NORMAL,NORMAL,NORMAL,0.99,NORMAL,False,,0.0,0.0,0.0,0.0,0,Stable stream with no material anomaly indicators
2,1,1,2.09,0.0209,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.18,0.0,7.02,0,Stable stream with no material anomaly indicators
3,1,1,2.17,0.0217,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.33,0.0,7.28,0,Stable stream with no material anomaly indicators
4,1,1,2.17,0.0217,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.35,0.0,7.31,0,Stable stream with no material anomaly indicators
5,1,1,2.19,0.0219,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.37,0.0,7.35,0,Stable stream with no material anomaly indicators
6,1,1,2.34,0.0234,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.69,0.0,7.88,0,Stable stream with no material anomaly indicators
7,1,1,2.44,0.0244,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.87,0.0,8.19,0,Stable stream with no material anomaly indicators
8,1,1,2.28,0.0228,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.55,0.0,7.65,0,Stable stream with no material anomaly indicators
9,1,1,2.2,0.022,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.4,0.0,7.4,0,Stable stream with no material anomaly indicators
10,1,1,2.17,0.0217,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.34,0.0,7.29,0,Stable stream with no material anomaly indicators
11,1,1,3.14,0.0314,NORMAL,NORMAL,NORMAL,0.93,NORMAL,False,,0.0,6.28,0.0,10.55,0,Stable stream with no material anomaly indicators
12,1,1,2.93,0.0293,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.87,0.0,9.86,0,Stable stream with no material anomaly indicators
